word,visual_mean,visual_sd,visual_n,auditory_mean,auditory_sd,auditory_n,scale
abandon,47.96,34.401,26,24.923,29.593,27,0-100_VAS
abat-jour,81.462,19.992,24,12.375,20.961,24,0-100_VAS
abattoir,60.385,32.545,28,47.577,34.5,27,0-100_VAS
abbé,49.64,35.941,24,20.833,29.902,25,0-100_VAS
abdomen,74.792,26.612,24,18.043,20.877,24,0-100_VAS
abeille,91.64,11.679,27,74,30.16,25,0-100_VAS
aboiement,56.7,32.639,22,90,14.513,21,0-100_VAS
abondance,63.929,33.768,26,9.769,17.761,26,0-100_VAS
abonnement,49.24,33.574,25,23.444,25.697,27,0-100_VAS
abonné,45.115,36.362,25,23.667,28.995,27,0-100_VAS
abricot,88,15.814,27,16.071,25.673,29,0-100_VAS
abstinence,44.158,37.739,24,19.2,27.892,21,0-100_VAS
abstraction,38.435,35.173,24,24.542,29.881,23,0-100_VAS
abus,54.24,33.012,25,34.385,35.946,26,0-100_VAS
abîme,49.36,40.86,25,16.731,31.084,26,0-100_VAS
académie,57.655,27.844,28,32.64,37.249,27,0-100_VAS
accent,38.708,35.798,25,64.423,39.575,26,0-100_VAS
acceptation,48.12,34.292,25,33.92,34.37,26,0-100_VAS
accession,37.31,34.604,28,22.929,27.908,28,0-100_VAS
accessoire,66.519,30.5,25,24.37,24.67,27,0-100_VAS
accident,71.655,26.051,24,68.852,33.607,27,0-100_VAS
accord,47.893,36.765,28,45.483,34.283,28,0-100_VAS
accordéon,84.708,15.31,24,82.72,25.309,25,0-100_VAS
accouplement,80.483,17.854,28,54.286,36.482,28,0-100_VAS
accroc,55.857,34.62,25,26.889,33.323,27,0-100_VAS
accusation,54,31.773,24,38.609,33.018,24,0-100_VAS
accusé,59.76,29.992,24,35.6,35.753,25,0-100_VAS
accès,47.786,31.9,27,23.63,32.163,27,0-100_VAS
accélérateur,47,36.721,24,37.667,35.781,26,0-100_VAS
achat,62.92,37.606,25,33.556,31.375,27,0-100_VAS
acide,43.273,32.355,24,21.043,23.044,23,0-100_VAS
acier,82.75,17.187,28,33.357,35.475,28,0-100_VAS
acquisition,38.04,33.882,25,22.885,34.046,26,0-100_VAS
