"Dominant Sensorimotor Dimension","Visual","Auditory","Gustatory","Olfactory","Tactile","Interoceptive","Leg/Foot","Hand/Arm","Mouth/Throat","Head","Torso","Exclusivity","N"
"Sensory Modality",,,,,,,,,,,,,
"Visual","4.16","2.38","0.86","1.00","1.92","2.83","1.61","2.11","1.62","2.10","1.80","26.6%","211"
"Auditory","2.66","4.33","0.68","0.71","1.22","3.02","1.45","2.06","2.91","2.15","1.76","30.1%","122"
"Gustatory","3.73","1.76","4.51","3.92","2.96","3.13","1.17","2.41","3.64","2.13","1.61","14.5%","19"
"Olfactory","1.75","1.09","3.13","4.60","1.28","3.17","0.95","1.49","2.25","2.05","1.27","23.8%","8"
"Gustatory & Olfactory","4.18","1.94","4.67","4.67","3.10","3.34","1.30","2.90","4.03","2.58","1.85","12.8%","3"
"Tactile","3.48","1.65","0.96","0.98","4.03","2.59","1.39","3.00","1.28","1.75","1.86","22.8%","8"
"Interoceptive","2.26","2.00","0.84","0.85","1.26","3.48","1.38","1.60","1.57","1.76","1.55","26.5%","289"
"Visual & Interoceptive","3.10","2.80","1.09","0.93","1.26","3.10","1.81","2.04","1.78","2.12","2.03","18.3%","4"
"Action Effector",,,,,,,,,,,,,
"Leg/Foot","3.34","2.37","0.86","1.03","1.80","2.88","2.50","1.95","1.48","1.78","1.88","10.9%","36"
"Hand/Arm","3.38","2.28","0.80","0.87","2.05","2.96","1.53","2.45","1.56","1.87","1.72","12.8%","140"
"Mouth/Throat","2.80","3.28","1.26","1.24","1.37","3.21","1.36","1.95","2.90","2.06","1.66","16.5%","198"
"Head","2.89","2.11","0.86","0.93","1.33","3.28","1.26","1.51","1.44","2.04","1.50","11.9%","205"
"Torso","2.91","2.12","0.90","0.96","1.75","3.25","1.61","1.77","1.48","1.76","2.15","9.3%","49"
"Leg/Foot & Hand/Arm","3.93","3.27","0.97","1.30","1.84","3.70","2.60","2.60","2.02","2.33","2.19","7.5%","3"
"Leg/Foot & Head","3.52","2.91","1.11","1.44","1.74","3.06","2.06","1.88","1.70","2.06","1.73","5.4%","3"
"Leg/Foot & Torso","1.73","1.27","0.53","0.67","1.07","4.07","1.53","1.20","1.20","1.40","1.53","4.8%","1"
"Hand/Arm & Head","3.13","2.27","0.66","0.96","1.43","2.95","1.30","1.78","1.23","1.78","1.52","8.8%","9"
"Hand/Arm & Mouth/Throat","2.06","1.82","0.65","0.88","1.12","2.82","1.29","1.41","1.41","1.35","1.18","3.6%","1"
"Hand/Arm & Mouth/Throat & Head","4.40","3.13","0.47","0.53","1.27","2.27","1.27","1.53","1.53","1.53","1.33","3.7%","1"
"Hand/Arm & Torso","2.89","1.86","0.82","0.76","1.59","3.42","1.81","1.95","1.51","1.69","1.95","4.7%","3"
"Head & Torso","3.08","2.50","0.89","1.02","1.32","3.04","1.35","1.46","1.29","1.70","1.70","7.1%","8"
"Mouth/Throat & Head","2.81","2.35","1.24","1.14","1.32","3.09","1.32","1.53","1.72","1.72","1.36","6.0%","6"
"Mouth/Throat & Torso","3.31","2.81","1.56","1.75","1.63","3.56","2.56","2.88","2.94","2.69","2.94","2.7%","1"
"Sensorimotor Dimension",,,,,,,,,,,,,
"Visual","4.16","2.38","0.86","1.00","1.92","2.83","1.61","2.11","1.62","2.10","1.80","16.0%","206"
"Auditory","2.66","4.33","0.68","0.71","1.22","3.02","1.45","2.06","2.91","2.15","1.76","16.7%","119"
"Gustatory","3.73","1.76","4.51","3.92","2.96","3.13","1.17","2.41","3.64","2.13","1.61","11.2%","18"
"Olfactory","1.75","1.09","3.13","4.60","1.28","3.17","0.95","1.49","2.25","2.05","1.27","16.0%","8"
"Gustatory & Olfactory","4.18","1.94","4.67","4.67","3.10","3.34","1.30","2.90","4.03","2.58","1.85","9.96%","3"
"Tactile","3.48","1.65","0.96","0.98","4.03","2.59","1.39","3.00","1.28","1.75","1.86","13.8%","8"
"Interoceptive","2.26","2.00","0.84","0.85","1.26","3.48","1.38","1.60","1.57","1.76","1.55","15.5%","288"
"Visual & Interoceptive","3.10","2.80","1.09","0.93","1.26","3.10","1.81","2.04","1.78","2.12","2.03","10.3%","4"
"Leg/Foot","3.48","2.50","0.80","0.72","2.02","2.05","4.25","2.10","1.48","2.09","2.61","15.6%","4"
"Hand/Arm","3.81","2.76","0.87","0.79","2.44","2.43","2.71","4.08","3.13","3.01","2.88","11.4%","2"
"Mouth/Throat","1.94","3.23","0.62","1.37","1.15","2.94","0.74","1.54","3.53","1.83","1.29","15.3%","2"
"Auditory & Mouth/Throat","2.66","3.59","0.96","1.23","1.14","3.00","1.64","2.45","3.59","1.95","1.86","10.9%","1"
"Gustatory & Mouth/Throat","4.19","1.86","4.57","4.48","3.19","3.52","1.67","3.67","4.57","3.19","2.00","7.87%","1"
