"Character 1",,,"Character 2",,
"Radical","N","MS","Radical","N","MS"
"Visual Strength",,,,,
"日 sun","15","5.00","凵 box; hole","2","5.00"
"子 child; seed","1","4.96","巾 scarf","2","4.96"
"风 wind","1","4.91","日 sun","11","4.91"
"火 fire","5","4.91","艹 grass","15","4.91"
"黄 yellow","1","4.91","色 colour","4","4.91"
"Auditory Strength",,,,,
"王(玉) jade","5","5.00","王(玉) jade","5","5.00"
"口 mouth","37","4.95","鼓 drum","1","4.95"
"欠 yawn","3","4.95","口 mouth","41","4.95"
"亻 person","19","4.90","曰 say","4","4.95"
"虫 insect","1","4.90","木 wood","22","4.91"
"Gustatory Strength",,,,,
"羊 sheep","5","4.93","食 eat; food","2","4.93"
"虫 insect","2","4.87","米 rice","2","4.87"
"亻 person","19","4.86","子 child; seed","11","4.86"
"口 mouth","37","4.77","飠 eat; food","3","4.86"
"火 fire","5","4.76","心 heart","48","4.81"
"Olfactory Strength",,,,,
"羊 sheep","5","4.93","食 eat; food","2","4.93"
"艹 grass","13","4.79","香 fragrant","1","4.79"
"亻 person","19","4.71","口 mouth","41","4.74"
"田 rice paddy; field","4","4.64","飠eat; food","3","4.71"
"火 fire","5","4.62","子 child; seed","11","4.67"
"Tactile Strength",,,,,
"手 hand","6","4.63","心 heart","48","4.63"
"月(肉) flesh","18","4.53","肉 flesh","2","4.53"
"扌 hand","13","4.50","釒gold; metal","5","4.50"
"貝 shell","2","4.13","扌 hand","9","4.13"
"木 wood","28","4.05","王(玉) jade","5","4.05"
"Interoceptive Strength",,,,,
"亻 person","19","4.60","心 heart","48","4.60"
"土 land","12","4.59","力 power; strength","22","4.59"
"心 heart","28","4.58","忄heart","17","4.58"
"水 water","3","4.48","丿slash; bend","1","4.48"
"日 sun","15","4.40","疒 sickness","1","4.43"
"Leg/Foot Strength",,,,,
"足 foot","3","4.78","王(玉) jade","5","4.79"
"月(肉) flesh","18","4.50","止 stop; footprint","3","4.50"
"大 big","12","4.23","月(肉) flesh","4","4.23"
"力 power; strength","9","4.11","亻 person","14","4.11"
"言 speech","2","3.71","刂 knife","6","3.71"
"Hand/Arm Strength",,,,,
"王(玉) jade","5","4.63","王(玉) jade","5","4.63"
"力 power; strength","9","4.21","亻 person","14","4.21"
"釒gold; metal","12","4.19","糹silk","10","4.19"
"土 earth","12","4.19","耳 ear","11","4.16"
"手 hand","6","4.16","釒gold; metal","5","4.06"
"Mouth/Throat Strength",,,,,
"飠eat; food","6","4.57","艹 grass","15","4.57"
"口 mouth","37","4.43","口 mouth","41","4.43"
"言 speech","29","4.38","言 speech","49","4.38"
"匚 container","1","4.36","土 earth","13","4.36"
"欠 yawn","3","4.33","刂 knife","6","4.33"
"Head Strength",,,,,
"月(肉) flesh","18","3.86","子 child; seed","11","3.86"
"頁 head","7","3.83","髟 hair","1","3.83"
"力 power; strength","9","3.79","亻 person","14","3.79"
"王(玉) jade","5","3.63","王(玉) jade","5","3.63"
"言 speech","29","3.63","言 speech","49","3.63"
"Torso Strength",,,,,
"王(玉) jade","5","4.63","王(玉) jade","5","4.63"
"力 power; strength","9","4.21","亻person","14","4.21"
"釒gold; metal","12","4.19","糹silk","10","4.19"
"土 earth","12","4.19","耳 ear","11","4.16"
"手 hand","6","4.16","釒gold; metal","5","4.06"
