"Character Type 1-Character Type 2","Example Word","Frequency"
"Phono-semantic-Phono-semantic","滋味 zīwèi “taste”","250"
"Compound ideograph-Phono-semantic","足球 zúqiú “football”","94"
"Phono-semantic-Compound ideograph","欲望 yùwàng “desire”","82"
"Pictograph-Phono-semantic","气氛 qìfēn “atmosphere”","57"
"Phono-semantic-Pictograph","情形 qíngxíng “situation”","44"
"Compound ideograph-Compound ideograph","报告 bàogào “report”","29"
"Compound ideograph-Pictograph","作文 zuòwén “composition”","27"
"Phono-semantic-Ideograph","海报 hǎibào “poster”","19"
"Pictograph-Compound ideograph","黄色 huángsè “yellow”","18"
"Pictograph-Pictograph","画面huàmiàn “image”","18"
"Ideograph-Phono-semantic","天堂 tiāntáng “paradise”","11"
"Ideograph-Compound ideograph","本能 běnnéng “instinct”","7"
"Pictograph-Ideograph","口音 kǒuyīn “accent”","3"
"Compound ideograph-Ideograph","图片 túpiàn “picture”","2"
"Ideograph-Pictograph","音乐 yīnyuè “music”","2"
"Ideograph-Ideograph","末世 mòshì “last days”","1"
