"Sensorimotor Dimension","Phono-semantic-Phono-semantic (PP)",,"Compound ideograph-Phono-semantic (CP)",,"Phono-semantic-Compound ideograph (PC)",
"zRT","ERR","zRT","ERR","zRT","ERR"
"Visual","0.06064","0.03284","0.72069","0.019180","0.78771","0.23485"
"Auditory","0.86429","0.18494","0.07796","0.015598","0.03648","0.02113"
"Gustatory","0.10175","0.03030","0.04403","0.010455","0.06053","0.03754"
"Olfactory","0.06304","0.02127","0.05242","0.011056","0.04307","0.02330"
"Tactile","0.13273","0.03241","0.06401","0.016679","0.05084","0.02965"
"Interoceptive","0.05228","0.04017","0.04587","0.009515","0.03732","0.02078"
"Leg/foot","0.03201","0.01824","0.04801","0.009345","0.03726","0.03829"
"Hand/arm","0.03602","0.01783","0.07975","0.011985","0.04823","0.05787"
"Mouth/throat","0.06589","0.09549","0.10040","0.046155","0.03680","0.01994"
"Head","0.11588","0.04625","0.09524","0.045494","0.03785","0.02237"
"Torso","0.03809","0.01459","0.04417","0.011945","0.03809","0.02540"
