ID,白驹过隙,百年,百日,半辈子,半年,半生,半世,半天,半载,辈子,本年,本日,本月,本周,不久,不日,沧海桑田,刹那,成年累月,此刻,此时,次日,大后天,待会,当即,当世,等一会,等一下,地久天长,地老天荒,短期,多会儿,多年,多日,多时,改年,改日,改天,隔月,隔周,工夫,海枯石烂,好半天,好一会儿,好一阵,很多年,很快,恒久,猴年马月,后年,后日,后天,后周,即将,即刻,即日,即时,几十年,将近,将来,今,今朝,今晨,今儿,今个,今后,今年,今日,今生,今世,今天,今晚,今夏,今宵,今夜,经年累月,来年,来日,来生,来世,老半天,立即,立刻,两下子,马上,明,明后天,明年,明日,明天,明晚,明早,目前,年末,年内,七日,七月,千年,千秋万代,顷刻,日后,霎时,稍后,十二月,十一月,十月,瞬间,四月,他日,天长日久,万代,万年,为期不远,未来,五月,下半年,下半月,下辈子,下礼拜,下月,下周,现阶段,现今,现年,现如今,现时,现下,现在,迅即,迅雷不及掩耳,迅速,眼下,遥遥无期,一半天,一辈子,一刹那,一晃,一会,一刻,一溜烟,一年半载,一日,一霎,一生,一时半会儿,一时半刻,一世,一瞬,一下子,一宿,一月,一眨眼,一阵,一阵子,一整天,亿万斯年,翌年,翌日,永久,永生永世,永远,与此同时,月,暂时,眨眼间,长久,长命,长年,长期,长寿,这时,正当时,正要,正在,中长期,终身,终生,钟头,周年,转眼间,记者,国家,棉袄,打扫,专辑
English translation,A white steed flashing past a crack (time flies),A hundred years,A hundred days,Half a lifetime,Half a year,Half a life,Half a lifetime,Half a day,Half a year,A lifetime,This year,This day,This month,This week,Not long,In a few days,Seas change into mulberry fields (time brings great changes),Kshana (a Buddhist term for an instant) / an instant,"Year in, year out",This moment,This time,The next day,Three days from now,Wait a bit,Right then,Current lifetime,Wait a little while,Wait a bit,As long as heaven and earth endure (eternal),Until earth grows old and heaven decays (forever),Short-term,For a short time,Many years,Many days,A long time,Another year,Another day,Another day,Every other month,Every other week,Time,Until the seas dry up and rocks crumble (forever),Quite a long while,Quite a while,Quite a spell,Very many years,Very soon,Eternal,The year of the monkey and the month of the horse,The year after next,A future day,The day after tomorrow,Later week,About to happen,This very moment,On the same day,Real-time,Decades,Approaching,The future,Now,This morning,This morning,Today,Today,From now on,This year,Today,This life,This lifetime,Today,Tonight,This summer,Tonight,Tonight,"Year after year, month after month",Next year,Future days,Future life,Next life,A very long while,Immediately,At once,A couple of moves,Right away,Tomorrow,Tomorrow or the day after,Next year,Tomorrow,Tomorrow,Tomorrow night,Tomorrow morning,At present,Year-end,Within the year,Seven days,July,A thousand years,"Thousands of autumns, ten thousand generations (for all time)",In an instant,In the future,In a flash,Later,December,November,October,A blink of time,April,Another day,As long as heaven and earth last (very long time),Ten thousand generations,Ten thousand years,Not far off (in time),The future,May,Second half of the year,Second half of the month,Next lifetime,Next week,Next month,Next week,Current stage,Nowadays,Current age,Now,Current time,At the present,Now,Promptly and swiftly,Swift thunder leaves no time for covering ears (extremely fast),Swiftly,At the moment,"Not within foreseeable time (literally, “far away with no deadline”)",Half a day or so,A lifetime,A single kshana / a split second,In a flash (time passing quickly),A short while,A quarter (of an hour) / a short while,Like a puff of smoke (very quickly),"A year or so (literally, “a year and half a year”)",One day,A flash,A whole life,"A short while (literally, “half a moment”)","A short while (literally, “half a moment”)",A generation / a lifetime,A fleeting moment,All at once,One night,January,A blink (of an eye),A spell (of time),A period of time,A whole day,Hundreds of millions of years,The following year,The following day,Permanent,For all eternity,Forever,At the same time,Month,Temporary,In the blink of an eye,Long-lasting,Long life,Year after year,Long-term,Longevity,At this time,Just the right time,About to,In the process of,Medium-to-long term,For life,All one’s life,Hour,Anniversary,In the blink of an eye,Journalist,Nation,Padded jacket,Clean,Album
1,3,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,2,1,1,3,3,1,3,1,1,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,2,1,1,1,1,1,1,3,3,3,3,3,1,1,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,1,3,1,2,1,3,1,3,3,3,3,1,3,3,1,1,1,1,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,3,3,1,1,1,3,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,3,3,3,3,3
2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,3,1,2,3,3,3,2,3,3,1,2,1,3,1,1,1,3,3,3,3,2,1,1,1,1,1,1,3,1,1,1,1,2,1,3,1,3,3,1,3,3,3,1,1,3,3,1,1,3,1,2,3,1,1,3,1,1,2,1,1,1,1,3,3,1,3,3,3,1,1,1,1,1,3,3,1,1,1,1,1,1,1,3,3,1,1,1,1,1,2,1,1,1,3,2,1,1,1,1,3,1,1,1,3,3,3,3,2,3,1,1,3,3,3,1,1,1,3,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,2,1,3,1,1,1,3,3,3,1,1,1,2,1,3,3,1,3,3,3,1,1,3,3,1,3,3,3,3,3
3,1,1,3,1,3,3,1,1,1,3,3,3,3,3,1,1,1,1,1,3,1,3,3,1,1,3,1,1,1,1,1,1,3,3,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,3,3,1,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,3,3,3,1,3,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,3,1,1,1,1,3,3,3,1,1,3,3,3,3,1,3,3,3,1,3,1,1,1,3,3,3,1,3,3,1,3,3,3,3,3
4,2,1,1,2,1,1,1,1,2,3,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3
5,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,3,2,3,1,3,1,1,1,1,3,3,1,3,1,2,1,3,1,3,1,2,2,1,3,1,1,2,1,3,1,1,3,2,3,1,1,1,1,1,1,1,3,1,3,2,3,1,3,1,1,2,3,1,1,1,3,3,1,1,1,1,1,1,3,3,1,3,1,3,1,3,1,1,1,3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,3,3,3,1,3,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,2,2,3,3,1,1,3,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,3,3,3,3,3
6,1,1,3,1,3,1,1,3,3,1,2,3,3,3,1,2,1,1,1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,1,1,3,3,3,2,3,2,1,1,1,1,1,1,1,2,3,3,3,3,1,1,1,1,1,3,2,1,1,3,3,2,2,3,3,1,3,3,3,3,3,3,1,3,2,3,3,1,1,1,2,1,3,3,3,3,3,3,3,1,3,3,1,3,3,1,1,1,1,1,3,3,3,1,3,3,3,1,2,1,2,3,3,3,3,3,3,3,1,3,3,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,3,1,1,2,3,1,3,1,1,1,1,3,3,1,2,2,2,2,2
7,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,3,3,3,3,1,1,3,1,3,3,3,1,3,3,3,3,3,1,1,3,3,3,3,1,1,3,3,1,1,1,1,1,1,3,1,1,1,1,3,1,1,3,1,3,3,1,1,1,1,3,3,1,1,3,1,1,1,1,1,1,3,3,3,3,3,1,1,1,3,1,3,1,1,1,2,1,1,1,3,1,1,1,1,3,1,3,1,1,1,1,1,3,1,3,1,3,3,1,3,1,1,1,1,1,1,1,3,1,1,3,1,3,3,3,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,3,1,3,3,2,2,3,3,3,3,3,3,3,1,3,3,3,3,3
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,1,1,3,1,1,1,1,1,1,3,3,3,3,3
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,3,3,3,3,3,1,3,3,1,1,3,3,3,3,3,1,3,3,1,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,3,1,1,1,3,1,1,3,3,3,1,3,1,1,1,1,1,1,3,1,3,3,3,2,3,3,3,1,3,3,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,3,3,3,3,3
