ID,两天,白驹过隙,百年,百日,半辈子,半年,半生,半世,半天,半载,辈子,不久,沧海桑田,刹那,成年累月,待会,当即,等一会,等一下,地久天长,地老天荒,短期,多会儿,多年,多日,海枯石烂,好半天,好一会儿,好一阵,很多年,很快,恒久,即将,即刻,几十年,经年累月,老半天,立即,立刻,马上,七日,千年,千秋万代,顷刻,霎时,瞬间,天长日久,万代,万年,为期不远,迅即,迅雷不及掩耳,迅速,遥遥无期,一半天,一辈子,一刹那,一晃,一会,一刻,一溜烟,一年半载,一日,一霎,一生,一时半会儿,一时半刻,一世,一瞬,一下子,一宿,一眨眼,一阵,一阵子,一整天,亿万斯年,永久,永生永世,永远,眨眼间,长年,长期,终身,终生,转眼间
English translation,Two days (comprehension check),A white steed flashing past a crack (time flies),A hundred years,A hundred days,Half a lifetime,Half a year,Half a life,Half a lifetime,Half a day,Half a year,A lifetime,Not long,Seas change into mulberry fields (time brings great changes),Kshana (a Buddhist term for an instant) / an instant,"Year in, year out",Wait a bit,Right then,Wait a little while,Wait a bit,As long as heaven and earth endure (eternal),Until earth grows old and heaven decays (forever),Short-term,For a short time,Many years,Many days,Until the seas dry up and rocks crumble (forever),Quite a long while,Quite a while,Quite a spell,Very many years,Very soon,Eternal,About to happen,This very moment,Decades,"Year after year, month after month",A very long while,Immediately,At once,Right away,Seven days,A thousand years,"Thousands of autumns, ten thousand generations (for all time)",In an instant,In a flash,A blink of time,As long as heaven and earth last (very long time),Ten thousand generations,Ten thousand years,Not far off (in time),Promptly and swiftly,Swift thunder leaves no time for covering ears (extremely fast),Swiftly,"Not within foreseeable time (literally, “far away with no deadline”)",Half a day or so,A lifetime,A single kshana / a split second,In a flash (time passing quickly),A short while,A quarter (of an hour) / a short while,Like a puff of smoke (very quickly),"A year or so (literally, “a year and half a year”)",One day,A flash,A whole life,"A short while (literally, “half a moment”)","A short while (literally, “half a moment”)",A generation / a lifetime,A fleeting moment,All at once,One night,A blink (of an eye),A spell (of time),A period of time,A whole day,Hundreds of millions of years,Permanent,For all eternity,Forever,In the blink of an eye,Year after year,Long-term,For life,All one’s life,In the blink of an eye
1,2,,36500,100,14600,180,14600,14600,0.020833333,180,29200,0.010416667,18250,5.79E-05,1825,0.083333333,0,0.006944444,0.003472222,21900,18250,90,0.013888889,2190,10,36500,0.020833333,0.027777778,0.027777778,7300,0.020833333,36500,0.020833333,0.003472222,10950,3650,0.027777778,1.16E-05,0.000694444,0.010416667,7,36500,36500,0.001388889,0.000115741,0.000115741,1825,36500,36500,7,0.003472222,5.79E-05,0.006944444,3650,0.208333333,29200,5.79E-05,0.083333333,0.027777778,2.31E-05,0.001388889,180,1,2.31E-05,29200,0.25,0.083333333,29200,1.16E-05,0.000694444,0.333333333,2.31E-05,0.010416667,0.010416667,0.5,36500,36500,36500,18250,2.31E-05,3650,5475,18250,21900,1095
2,2,1.16E-05,36500,100,10950,180,10950,10950,0.5,180,21900,10,3.65E+20,1.16E-05,3.65E+18,,,,,3.65E+15,3.65E+18,1,,3650,7,3.65E+12,0.5,0.041666667,0.041666667,3650,,3.65E+19,,1.16E-05,21900,3.65E+17,0.5,,,,7,365000,3.65E+23,1.16E-05,,1.16E-05,3.65E+12,3.65E+21,3650000,,1.16E-05,1.16E-05,,,1.5,29200,1.16E-05,,0.003472222,0.010416667,5.79E-05,365,1,1.16E-05,21900,0.041666667,0.041666667,21900,1.16E-05,,0.25,1.16E-05,0.041666667,0.041666667,1,3.65E+26,3.65E+24,3.65E+18,3.65E+12,1.16E-05,36500,3650,21900,21900,1.16E-05
3,5,3650,29200,,14600,,,14600,0.125,180,,7,36500,3.47E-05,1460,0.006944444,0.003472222,0.006944444,0.006944444,18250,18250,90,0.25,,,36500,0.041666667,0.083333333,0.020833333,7300,0.041666667,18250,7,3.47E-05,,1825,0.25,3.47E-05,5.79E-05,0.000115741,,365000,36500,0.020833333,3.47E-05,3.47E-05,18250,36500,,5,0.000115741,3.47E-05,3.47E-05,1095,0.333333333,29200,3.47E-05,1825,0.006944444,0.010416667,1095,730,,0.000115741,29200,0.125,0.083333333,29200,5.79E-05,3.47E-05,,1460,0.006944444,7,1,,36500,36500,,1825,,2190,,29200,3.47E-05
4,2,0.006944444,36500,100,14600,180,21900,18250,0.5,14600,,1,36500,1.16E-05,3650,0.083333333,0.000694444,0.006944444,0.000694444,21900,1825000,5,0.013888889,2190,50,3649635,0.041666667,0.020833333,0.006944444,2190,2.31E-05,3650000,0.000694444,0.001388889,18250,18250,0.083333333,0.000115741,0.000694444,0.000694444,7,365000,730000,1.16E-05,1.16E-05,2.31E-05,21900,365000,3650000,1,2.31E-05,1.16E-05,2.31E-05,3650,2,18250,1.16E-05,0.001388889,0.001388889,5.79E-05,0.000694444,365,1,2.31E-05,36500,0.5,0.416666667,29200,2.31E-05,1.16E-05,0.416666667,1.16E-05,0.000694444,0.041666667,1,,18250,29200,219000,2.31E-05,3650,1825,21900,21900,1.16E-05
5,2,29200,36500,100,10950,180,18250,,,180,29200,30,3650000,,3650,0.020833333,,0.013888889,,36500,36500000,7,,3650,,3.65E+11,0.25,,5,3650,,36500000000,0.125,5.79E-05,18250,3650,0.333333333,,0.002083333,0.013888889,7,36500,36500,0.003472222,0.000694444,0.000231481,,3650000,3650000,30,0.002083333,5.79E-05,0.003472222,1095,2,29200,3.47E-05,,0.002083333,0.010416667,,730,1,0.002083333,29200,0.041666667,0.041666667,29200,,5.79E-05,0.5,0.006944444,0.003472222,60,1,3.65E+15,3.65E+13,3.65E+11,,,10950,10950,36500,36500,1460
6,2,,,,,,,,,,29200,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,7,,,,0.000694444,,,,,,0.003472222,0.000347222,,,,29200,,,,0.010416667,,,0.833333333,,,,,10950,,,,,,,,,,,,,,,,,
7,2,365,36500,100,14600,182.5,10950,14600,0.5,182.5,,0.5,,,,,,0.006944444,,,,,,1825,5,,0.75,0.027777778,0.208333333,3650,0.003472222,1825,,0.000694444,10950,,0.75,0.010416667,0.006944444,0.010416667,7,365000,,0.000115741,0.000694444,,10950,,,30,,,0.003472222,,0.75,29200,1.16E-05,0.000694444,0.006944444,1.16E-05,0.000694444,365,1,0.000694444,29200,0.208333333,0.041666667,29200,1.16E-05,0.000694444,,1.16E-05,0.020833333,0.020833333,1,365000,36500,,,0.000694444,3650,,,,0.003472222
8,3,0.000694444,36500,100,18250,180,180,18250,0.5,180,3650,0.003472222,36500,5.79E-05,1825,0.020833333,5.79E-05,0.010416667,0.000115741,10950,36500,180,0.006944444,3650,5,36500,0.041666667,0.041666667,0.208333333,3650,0.002083333,36500,0.003472222,0.000694444,18250,3650,0.041666667,0.000694444,0.000694444,0.002083333,7,365000,73000,0.006944444,0.000694444,5.79E-05,7300,182500,3650000,60,0.001388889,0.000694444,0.003472222,730,365,10950,0.000115741,0.006944444,0.020833333,0.000694444,0.001388889,4380,1,0.002083333,36500,0.25,0.25,36500,0.003472222,0.000347222,0.5,0.000694444,5,5,0.5,3650000,36500,36500,18250,0.000115741,1825,730,18250,18250,0.002083333
9,2,0.000115741,36500,100,12775,180,18250,18250,0.5,180,21900,3,36500,0.000115741,1825,0.010416667,0.000115741,0.013888889,0.013888889,36500,3.65E+12,5,0.083333333,3650,10,365000,0.166666667,0.027777778,15,1825,0.006944444,3650000,0.000694444,0.000694444,7300,1095,0.5,0.000694444,0.003472222,0.003472222,7,365000,3650000,5.79E-05,0.000115741,5.79E-05,36500,36500,3650000,5,0.000347222,1.16E-05,0.000115741,1095,0.5,21900,5.79E-05,0.000694444,0.006944444,0.010416667,5.79E-05,730,1,0.000694444,25550,0.0625,0.052083333,36500,0.000115741,0.000694444,0.333333333,2.31E-05,5,15,1,3.65E+14,36500,365000000,3650000,2.31E-05,3650,1825,36500,36500,0.000694444
