No,expressions,translation,Type,num_duration,freq,adjusted_freq
1,白驹过隙,A white steed flashing past a crack (time flies),verbal,3156.795654,329,259.91
2,百年,A hundred years,verbal,36500,26727,24321.57
3,百日,A hundred days,verbal,100.212766,2929,2929
4,半辈子,Half a lifetime,verbal,15448.83721,2859,2859
5,半年,Half a year,verbal,184.4318182,60780,59564.4
6,半生,Half a life,verbal,15533.72093,4068,3986.64
7,半世,Half a lifetime,verbal,16068.90244,1044,960.48
8,半天,Half a day,verbal,0.435132576,37875,37875
9,半载,Half a year,verbal,1778.444444,195,183.3
10,辈子,A lifetime,verbal,29939.35897,21124,21124
11,不久,Not long,verbal,8.934645062,72436,71711.64
12,沧海桑田,Seas change into mulberry fields (time brings great changes),verbal,9.13E+26,842,715.7
13,刹那,Kshana (a Buddhist term for an instant) / an instant,verbal,0.000122685,11225,10551.5
14,成年累月,"Year in, year out",verbal,9.36E+16,191,191
15,待会,Wait a bit,verbal,0.045712384,9348,8039.28
16,当即,Right then,verbal,0.030311053,12331,12331
17,等一会,Wait a little while,verbal,0.01519223,2050,2029.5
18,等一下,Wait a bit,verbal,0.01190759,8976,8976
19,地久天长,As long as heaven and earth endure (eternal),verbal,8.79E+13,542,542
20,地老天荒,Until earth grows old and heaven decays (forever),verbal,9.13E+27,682,682
21,短期,Short-term,verbal,63.29174742,32099,32099
22,多会儿,For a short time,verbal,0.276839339,196,168.56
23,多年,Many years,verbal,3505.697674,100829,100829
24,多日,Many days,verbal,12,3694,3694
25,海枯石烂,Until the seas dry up and rocks crumble (forever),verbal,9.36E+20,734,719.32
26,好半天,Quite a long while,verbal,0.617149758,2008,2008
27,好一会儿,Quite a while,verbal,0.078654101,5701,5701
28,好一阵,Quite a spell,verbal,2.905066288,3493,3318.35
29,很多年,Very many years,verbal,5234.431818,5275,5275
30,很快,Very soon,verbal,1.020125661,107314,106240.86
31,恒久,Eternal,verbal,1.05E+19,1365,1365
32,即将,About to happen,verbal,2.581330722,71344,70630.56
33,即刻,This very moment,verbal,0.002117504,9137,8771.52
34,几十年,Decades,verbal,13140,21797,21797
35,经年累月,"Year after year, month after month",verbal,9.36E+15,340,340
36,老半天,A very long while,verbal,1.257181187,1779,1779
37,立即,Immediately,verbal,0.003093777,117360,117360
38,立刻,At once,verbal,0.003194971,89759,89759
39,马上,Right away,verbal,0.008630222,122256,119810.88
40,七日,Seven days,verbal,7,6089,3775.18
41,千年,A thousand years,verbal,338686.0465,19522,18741.12
42,千秋万代,"Thousands of autumns, ten thousand generations (for all time)",verbal,8.49E+21,370,370
43,顷刻,In an instant,verbal,0.023870773,3683,3683
44,霎时,In a flash,verbal,0.000512153,7922,7922
45,瞬间,A blink of time,verbal,0.000131114,48381,48381
