諧聲序,形序,聲-明細,聲形-聲,聲形-形,字類,聲-明細',聲序,聲旁,反切-小韻首字,反切-原貌,反切-周祖謨校,反切-余迺永校,反切-覈校說明,字頭-原貌,字頭-周祖謨校,字頭-余迺永校,字頭-覈校說明,字頭-補,廣韻反切原貌(覈校前),廣韻反切(覈校後),上字,下字,廣韻字頭原貌(覈校前),廣韻字頭(覈校後),廣韻釋義,釋義補充,廣韻字序,切韻擬音(poem版),切韻拼音(poem版),聲紐,呼,等,韻部(調整後),聲調,組,攝,韻部調整說明,廣韻韻部順序,廣韻韻部原貌(調整前),韻部原貌-平上去入相配爲平(調整前),韻部原貌-相配爲平並標A/B類(調整前),小韻-擬音相同(poem版擬音),開合分析(果攝/寒桓/嚴凡/咍灰/遇攝/通攝/臻攝),開合分析(幫組-歌戈/寒桓/唐/泰/咍灰/魂/模/冬/東一),開合分析(幫組-陽/嚴凡/元/廢/鍾/東三/尤/虞/文/微）,A/B類分析(與各組聲紐撘配),中古拼音(polyhedron 版),現代廣州音理論音,粵聲,粵韻,粵調,現代北京音理論音,京聲,京韻,京調,廣韻頁序,頁內字序,小韻序,小韻內字序,全王本切韻-補字,全王本切韻-字數,全王本切韻-反切,裴本切韻-反切,裴本切韻-字序,裴本切韻-字數,裴本切韻-補字,玉篇-原本玉篇殘卷/篆隸萬象名義,玉篇-是否見於原本玉篇殘卷,玉篇-宋本玉篇,經典釋文-拼音(poem版),經典釋文-反切,合併-廣韻,合併-廣韻反切,合併-切韻擬音(poem版),合併-切韻拼音(poem版),合併-中古拼音(polyhedron 版),上字',上字-切韻拼音(poem版),上字-聲紐,上字-呼,上字-等,上字-韻部,上字-聲調,上字-組,上字-攝,下字',下字-切韻拼音(poem版),下字-聲紐,下字-呼,下字-等,下字-韻部,下字-聲調,下字-組,下字-攝,對比-聲紐(上字/被切字),對比-呼(下字/被切字)(不涉及幫組),對比-呼(幫組下字/其他組被切字),對比-等(下字/被切字),對比-韻部(下字/被切字),對比-韻部A/B類(來紐下字/幫見影三組被切字),對比-韻部A/B類(知組下字/幫見影三組被切字),對比韻部A/B類(其他組下字/幫見影三組被切字),上字-切韻擬音(poem版),上字-中古拼音(polyhedron 版),下字-切韻擬音(poem版),下字-中古拼音(polyhedron 版),建議替換爲,是否聲旁,是否次級聲旁,聲形析微,先秦韻部（引自余迺永的《上古音系研究》）,資料引用-其他版本的字頭
16710,450,東,,東,整體,東,833,東,德紅,,,,,,,,,,德紅,德紅,德,紅,東,東,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,,1,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,dung1,d,ung,1,dong1,d,ong,1,上平07左,1,1,1,,2,德紅,德紅,1,2加2,,都公,,德紅,,,德紅：春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,聲旁,次級聲旁,暫擬爲東重聲旁一類而童聲旁在另一類（雖然童爲⿳辛東土，但可能聲旁東是先秦中後期讀音有所演變後新加的）；熏的上方似基於東而內加四點，存疑,東,東
16722,200,東,東,艸,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,菄,菄,東風菜義見上注俗加艹,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,2,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平07左,2,1,2,,,,,,,,,,得洪,,,德紅：東風菜義見上注俗加艹,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,菄
16714,155,東,東,鳥,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,鶇,鶇,鶇鵍鳥名美形出廣雅亦作𪂝,,3,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平07左,3,1,3,,,,,,,,,,德紅/德紅,,,德紅：鶇鵍鳥名美形出廣雅亦作𪂝,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,鶇
16715,176,東,東,羊,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,䍶,䍶,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟,,4,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平07左,4,1,4,,,,德紅,a1,,,都弄,,都弄,,,德紅：獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟/直珍：獸名似羊目在耳後/多貢：獸名似羊一角一目出秦戲山又音東,德紅/直珍/多貢,towŋ/ɖɨn/towŋh,tong/drin/tongh,tung/drin/tungh,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,䍶
16734,117,涷,涷,人,,涷,833,東,,,,,,,,,,,德紅,德紅,德,紅,𠍀,𠍀,儱𠍀儜劣皃出字諟,,5,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,1,1,5,,,,,,,,,,,,,德紅：儱𠍀儜劣皃出字諟,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,𠍀
16713,117,東,東,人,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,倲,倲,上同,儱𠍀儜劣皃出字諟,6,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,2,1,6,,,,,,,,,,都聾,,,德紅：上同,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,倲
16728,361,東,東,食,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,𩜍,𩜍,地理志云東郡館名,,7,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,3,1,7,,,,,,,,,,,,,德紅：地理志云東郡館名,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,𩜍
16899,37,仝,仝,心,,仝,837,同,,,,,,,,,,,德紅,德紅,德,紅,𢘐,𢘐,古文見道經,,8,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,4,1,8,,,,,,,,,,,,,德紅：古文見道經,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,𢘐
16732,261,東,東,水,,涷,833,東,,,,,,,,,,,德紅,德紅,德,紅,涷,涷,瀧涷沾漬說文曰水出發鳩山入於河又都貢切,,9,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,5,1,9,,,德紅,德紅,a2,,,都貢,,都聾/都弄,tong/tongh/twong,東1/都弄1/冬1,德紅：瀧涷沾漬說文曰水出發鳩山入於河又都貢切/多貢：瀑雨又水名出發鳩山多貢切又音東七,德紅/多貢,towŋ/towŋh,tong/tongh,tung/tungh,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,次級聲旁,,,涷
16718,189,東,東,虫,,東,833,東,,,,,,,,,,,德紅,德紅,德,紅,蝀,蝀,螮蝀虹也又音董,,10,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,,,,,,,,,上平08右,6,1,10,,,,,,,,丁孔,,丁孔,tong/tongq,德紅1/丁孔2/都動1,德紅：螮蝀虹也又音董/多動：螮蝀虹也又音東,德紅/多動,towŋ/towŋʔ,tong/tongq,tung/tungx,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,,,,,蝀
