artifact_id	method	source	version	sha256	local_path	notes
LaBSE	hf	sentence-transformers/LaBSE	main@2026-07 (UNPINNED at fetch)	DIR:12@053c3af908bf8a29a8256522ca38d47a0c8c6f9df0f7dcd3dd4d51464755a562	engine/models/LaBSE	load-bearing encoder (house NO-SWAP); closes Table-2#1 with full tree pin; resolve/main, no upstream commit recorded
bge-m3	hf	BAAI/bge-m3	5617a9f61b028005a4858fdac845db406aefb181	DIR:90@4389dc3ed856a94a4bb6783f9d00b1740b97127df5af5c93136f20cbe342d543	engine/models/bge-m3	closes Table-2#2; HF commit pinned via .cache metadata
gbert-base	hf	deepset/gbert-base	main@2026-07 (UNPINNED at fetch)	DIR:5@b775a468c440c55b3780ecec2393b77b7db42591c38fb3d424a86af7effae570	engine/models/gbert-base	closes Table-2#2; resolve/main, no commit recorded
multilingual-e5-large	hf	intfloat/multilingual-e5-large	3d7cfbdacd47fdda877c5cd8a79fbcc4f2a574f3	DIR:131@1035d35f9c615fbe807e35c27bba2119db7d3b490cadabdd68beb052d3dfc3aa	engine/models/multilingual-e5-large	closes Table-2#2; HF commit pinned
sikubert	hf	SIKU-BERT/sikubert	main@2026-07 (UNPINNED at fetch)	DIR:22@29074114b55c448209d48b539a0d4514a8ea6731541d248c4a050c8a44b2d1b0	engine/models/sikubert	closes Table-2#2; no commit (version evidence vocab=29791)
sikuroberta	hf	SIKU-BERT/sikuroberta	main@2026-07 (UNPINNED at fetch)	DIR:19@7e222ab5aa73876e9fff765dad3988ad7adda9282b665aaf5e9cf48179dea6c8	engine/models/sikuroberta	closes Table-2#2; no commit; same vendoring as sikubert
nltk_wordnet	nltk	wordnet	nltk-3.9.2 (gh-pages snapshot undated)	cbda5ea6eef7f36a97a43d4a75f85e07fccbb4f23657d27b4ccbc93e2646ab59	engine/nltk_data/corpora/wordnet.zip	closes Table-2#3; identity-pinned by zip hash (exact gh-pages snapshot date unrecoverable)
nltk_omw-1.4	nltk	omw-1.4	nltk-3.9.2 (gh-pages snapshot undated)	3b941e664852f3297b6040236626065796a2aaf7d7f9eec8779a3beaa1096c2d	engine/nltk_data/corpora/omw-1.4.zip	closes Table-2#3; identity-pinned by zip hash
nltk_avg_perceptron_tagger	nltk	averaged_perceptron_tagger	nltk-3.9.2 (gh-pages snapshot undated)	e1f13cf2532daadfd6f3bc481a49859f0b8ea6432ccdcd83e6a49a5f19008de9	engine/nltk_data/taggers/averaged_perceptron_tagger.zip	closes Table-2#3; identity-pinned by zip hash
nltk_avg_perceptron_tagger_eng	nltk	averaged_perceptron_tagger_eng	nltk-3.9.2 (gh-pages snapshot undated)	6025f530624335c67d6547d44757b357b4e79bae030a0383e9887a92c1718f0b	engine/nltk_data/taggers/averaged_perceptron_tagger_eng.zip	closes Table-2#3; identity-pinned by zip hash
nltk_punkt	nltk	punkt	nltk-3.9.2 (gh-pages snapshot undated)	51c3078994aeaf650bfc8e028be4fb42b4a0d177d41c012b6a983979653660ec	engine/nltk_data/tokenizers/punkt.zip	closes Table-2#3; identity-pinned by zip hash
nltk_punkt_tab	nltk	punkt_tab	nltk-3.9.2 (gh-pages snapshot undated)	e57f64187974277726a3417ca6f181ec5403676c717672eef6a748a7b20e0106	engine/nltk_data/tokenizers/punkt_tab.zip	closes Table-2#3; identity-pinned by zip hash
coco2017_annotations	curl	https://images.cocodataset.org/annotations/annotations_trainval2017.zip	COCO2017 v1.0 (2017-09-01)	DIR:6@b5fcaf9d94b9431ba1cbec1ee27588fa9917b2efcc01f97731f56861befe0f21	engine/data/coco/annotations	closes Table-2#4; downloaded as annotations_trainval2017.zip, verified-local as extracted tree; xcheck instances_val2017.json=MATCH(e8c7f79)
coco2017_val2017	curl	https://images.cocodataset.org/zips/val2017.zip	COCO2017 v1.0 (2017-09-01)	DIR:5000@2e210112a7ea2a0a7687ad7f3ef25ea4488522f47f985680cd792e6c43f95e8f	engine/data/coco/val2017	closes Table-2#4; downloaded as val2017.zip (5000 imgs), verified-local as extracted tree
glove-wiki-gigaword-50	gensim	glove-wiki-gigaword-50	Pennington2014 glove.6B.50d (gensim-data)	9a8a78e2c6da3115e97044cbcfb40736d430961410bf732a4e80776412be5cd3	marking/tools/vectors/glove-wiki-gigaword-50.txt	closes Table-2#5; gensim-data id; file-hash identity pin
audio_witness	manual	AudioCaps(cdjkim)+Clotho2.1(zenodo/4783391)+FSD50K(zenodo/4060432)+AudioSet(googleapis+ontology)	fetched 2026-07-17	DIR:21@f57cc14b2c7375ce6b3ede63eaac1186172a6d6cc3c4c6290e3ee713cab2c2cb	lexical_resources/audio_witness	4-source bundle; per-file shas in CHECKSUMS.sha256 (17 files); join 51308/51308
cilin	manual	HF-dataset One-sixth/HIT-IR-Lab-Tongyici-Cilin-Extended	HIT-SCIR ext (17817 lines)	DIR:34@aef968b19a930b8c28b05e6849a259d2a7aa304bfc4b84b9ab1e7ae115fe0052	lexical_resources/cilin	HF dataset (not model-snapshot->manual); ScoutA file sha b5ad2ccf; no Table-1 pin
coco_cn_tarball	curl	https://huggingface.co/datasets/AIMClab/COCO-CN/resolve/main/coco-cn-version1805v1.1.tar.gz	v201805v1.1; HF rel 2025-02-12	6c126cd8455363a404806e452ec75066a8fc96d73922d9357d993fcdd1d40b8a	lexical_resources/coco_cn/coco-cn-version1805v1.1.tar.gz	xcheck:MATCH(PROVENANCE 6c126cd8); extract dir regenerable, prunable
coco_cn_concepts	curl	https://raw.githubusercontent.com/li-xirong/coco-cn/master/data/conceptscn655.txt	v201805v1.1; HF rel 2025-02-12	e25044d77bd9c97d1907a2ceff45b15566fc9064d493d9ba9860b07c3a114073	lexical_resources/coco_cn/conceptscn655.txt	xcheck:MATCH(PROVENANCE e25044d7)
coco_cn_ext	curl	https://raw.githubusercontent.com/li-xirong/coco-cn/master/data/coco-cn_ext.icap2020.txt	v201805v1.1; HF rel 2025-02-12	6427c1b2f2bc357f26ac7ac37e60965f7574028997dc7aefcad495832359053c	lexical_resources/coco_cn/coco-cn_ext.icap2020.txt	xcheck:MATCH(PROVENANCE 6427c1b2)
coco_cn_typos	curl	https://raw.githubusercontent.com/li-xirong/coco-cn/master/data/detected-typos.txt	v201805v1.1; HF rel 2025-02-12	1d8f1d87f577afaf7227add4ab42296a3ab26789f001e6c22537c2d8aecf7626	lexical_resources/coco_cn/detected-typos.txt	xcheck:MATCH(PROVENANCE 1d8f1d87)
color_lexicon	manual	gh mattdesl/dictionary-of-colour-combinations + gh zerosoul/chinese-colors	mattdesl undated; zerosoul 2019	DIR:6@8774ca39307e749ee4dadb6c3fbf96fe144ad7d6415ef7e9bde565e4dc3da21d	lexical_resources/color_lexicon	xcheck colors.json=MATCH(555f11c3) zerosoul=MATCH(72a4f472); MIT(mattdesl)
de_color_inventory	manual	DERIVED de_build/build_de_color_inventory.py FROM de_dict_prose (kaikki German)	built 2026-07-28	3dbe352d1e2f04101d65d0e72700891dfb86db21d2ecff50248d9808479ac7ae	lexical_resources/de/de_color_inventory.json	derived-not-fetchable; upstream=de_dict_prose
fr_color_inventory	manual	DERIVED fr_build/build_fr_color_inventory.py FROM GLAWI (glawi_color_desc)	built 2026-07-28	6cd68a90c09f191ee8b73f988f3e5fd310add0ba6756376d71e26187d31cf0b1	lexical_resources/fr/fr_color_inventory.json	derived-not-fetchable; upstream=GLAWI_FR_work; row added 2026-08-12 #71 at her word (de-parity)
